학교,고교성적,수능언어성적,수능영어성적,대학성적
2,4,83,69,2.8
2,3.5,69,93,3.43
2,3.5,93,69,3.35
2,4.25,83,69,3.6
2,4.25,69,98,4.31
2,4.5,69,69,4.01
2,4,83,83,3.65
2,4.5,93,83,3.68
2,4.25,83,83,3.87
2,4,69,69,3.25
2,3.5,93,83,2.35
2,4.5,83,83,4.2
2,3.75,69,69,3.12
2,3.25,69,83,2.87
2,3.5,93,69,3.36
2,4.25,93,93,3.59
2,3.75,69,83,3.55
2,3.25,83,83,2.79
2,2.5,83,50,2.1
2,3.5,83,69,3.38
2,4.25,69,83,4.2
2,2.75,69,69,2.54
2,4.25,83,69,3.83
2,3,83,69,2.95
2,3,93,50,2.92
2,3.75,93,83,2.98
2,3.75,69,69,3.94
2,4.5,69,69,3.8
2,2,83,69,2.55
2,4,83,83,4.22
2,3,83,83,2.57
2,3.25,93,69,3.42
2,2.5,69,83,3.14
2,3.25,83,69,3.22
2,2.25,83,93,1.81
2,3.25,69,83,3.5
2,3,69,83,2.99
2,3,69,83,1.81
2,3.5,83,50,3.07
2,3.5,69,93,3.62
2,3.75,93,69,4.11
2,3.5,69,83,3.47
2,3.5,83,50,3.23
2,2,69,83,1.74
2,3.75,83,83,3.73
2,2.75,93,69,2.86
2,3,93,50,3.33
2,3,69,93,2.54
2,4.5,93,69,4.12
2,3,69,69,2.73
2,3.5,69,83,3.7
2,3,69,83,2.92
2,3.5,93,69,3.32
2,4.5,50,83,4.1
2,3.25,69,83,3.98
2,3.25,93,69,3.46
2,3,50,83,2.9
2,4,69,50,3.25
2,2.5,69,83,3.45
2,4.25,69,50,3.96
2,3.75,83,69,3.56
2,3.75,83,93,3.6
2,3.75,69,93,3.64
2,3,69,69,3.03
2,4,69,69,3.24
2,4,93,69,3.45
2,4,69,83,3.27
2,4,69,69,3.67
2,3.5,69,83,3.08
2,2.75,83,83,2.83
2,3.75,69,83,3.22
2,2.25,69,69,1.88
2,2,50,93,2.96
2,3.5,83,69,3.32
2,4.5,69,83,4.1
2,4.25,69,83,4.09
2,3.25,69,83,3.22
2,3,69,69,3.33
2,3.5,83,50,3.35
2,3,83,50,2.42
2,4.5,93,50,3.33
2,4,69,93,3.71
2,4,69,83,2.93
2,2,83,69,2.22
2,4,93,69,3.13
2,2.75,69,69,2.62
2,4.25,69,93,3.82
2,3,69,69,2.97
2,3.25,83,69,2.71
2,4.25,83,69,3.86
2,4.5,69,93,4.26
2,3.75,83,69,3.44
2,4.25,69,93,4.13
2,3,69,98,3.67
2,3.75,93,69,3.36
2,3.25,83,50,3.09
2,4,83,83,3.66
2,2.25,83,69,2.58
2,4,69,83,3.42
2,4.5,50,83,4.28
2,4,83,69,2.81
2,4,83,83,3.81
2,4,83,83,3.54
2,4,69,83,3.49
2,2.25,69,69,2.97
2,4.5,83,69,4.08
2,3.75,83,93,3.45
2,4.5,69,83,3.95
2,3.5,83,50,3.75
2,3.5,69,69,3.17
2,4.5,83,83,4.01
2,3.75,83,50,2.99
2,4,83,69,3.53
2,3.25,69,83,2.83
2,3.25,69,93,2.37
2,3.25,69,50,2.06
2,4.5,83,83,3.56
2,4,69,93,3.33
2,4,83,69,2.93
2,4,69,83,3.47
2,3.75,69,83,3.45
2,2.5,69,69,2.86
2,2.75,83,50,2.9
2,4,69,83,3.66
2,4,93,69,3.27
2,3,69,93,3.54
2,4.25,83,50,3.2
2,4,69,83,3.88
2,3.75,69,69,3.97
2,3.5,83,83,3.5
2,3.5,69,83,3.09
2,3.5,83,69,2.91
2,2.75,69,83,2.83
2,4.5,93,69,3.95
2,3,93,69,3.14
2,4,83,83,3.59
2,3.5,83,69,3.3
2,3.5,69,93,3.15
2,3,83,69,2.3
2,4,83,83,3.55
2,4.5,93,69,3.59
2,3,83,83,3.26
2,4.25,69,83,2.97
2,2,69,93,2.57
2,3.25,69,93,3.09
2,2,69,69,1.59
2,4.5,83,83,4.19
2,3.75,83,50,3.37
2,3,83,69,2.46
2,4.25,83,69,2.73
2,3.5,69,69,3.33
2,3,83,83,1.75
2,4.25,83,83,4.04
2,3.75,83,69,2.95
2,3.25,83,69,3.04
2,4.5,93,83,4.1
2,4,93,69,3.06
2,3,69,69,3.01
2,3.75,69,83,3.63
2,4.5,83,69,4.07
2,3.5,50,93,2.64
2,2.5,93,69,2.54
2,4.25,69,69,3.97
2,4.5,83,69,3.94
2,4,83,69,3.48
2,4.25,83,83,2.61
2,3.5,83,69,3.56
2,4.5,93,32,3.2
2,3.5,93,69,2.4
2,4.25,83,69,2.86
2,4.25,69,83,3.34
2,2.75,93,69,2.47
2,2.75,83,69,2.78
2,2.75,69,69,2.49
2,3.5,69,69,2.98
2,4.5,83,69,3.28
2,3.25,69,83,3.32
2,2.5,83,69,2.86
2,3.5,83,50,1.57
2,4.25,93,69,3.96
2,4,83,69,3.03
2,4.5,83,83,3.61
2,3.75,83,69,3.49
2,4,93,50,2.9
2,3,83,69,3.14
2,2,69,93,2.6
2,2.75,93,69,2.56
2,3.75,69,93,2.68
2,4,93,69,3.52
2,3,83,83,2.68
2,4,93,83,3.59
1,4.25,84,66,3.7
1,4.25,80,74,3.6
1,2.75,71,82,2.39
1,3.5,87,66,3.47
1,3.25,60,72,2.94
1,3,73,71,2.88
1,3,68,87,3.1
1,3,76,76,3.18
1,4,66,51,3.26
1,3,55,85,3.08
1,4.5,82,80,4.24
1,3.5,49,90,3.24
1,4.5,79,76,4.04
1,3.5,86,58,3.04
1,3.5,64,87,3.59
1,4.5,87,63,3.32
1,3.75,82,66,2.97
1,3.25,87,57,2.24
1,3.5,51,94,3.46
1,4,68,69,3.42
1,4,62,88,3.51
1,3.25,74,66,2.75
1,4.5,80,69,4.09
1,3,55,78,3
1,2.75,53,78,2.95
1,3.5,88,51,3.09
1,3.25,51,76,3.37
1,2.75,76,72,2.7
1,4,64,76,3.79
1,3.25,71,63,2.8
1,3.75,71,95,3.06
1,2.75,77,69,2.42
1,3.25,82,76,3.46
1,4,79,66,3.65
1,3.5,71,87,3.29
1,3.5,73,66,3.21
1,4.25,77,85,3.47
1,4.25,87,78,3.6
1,4.5,73,84,4.08
1,3.25,73,72,2.51
1,3.75,70,80,3.45
1,4.5,77,64,3.87
1,3.75,87,93,3.49
1,3.75,77,60,3.38
1,3.5,88,74,2.68
1,4,60,94,3.74
1,2.75,73,72,2.06
1,3.25,77,82,3.18
1,3.75,90,82,3.16
1,3.5,76,90,3.28
1,3.5,76,71,3.12
1,3.25,73,74,3.05
1,3,77,69,2.99
1,4.5,87,84,3.28
1,3,68,57,2.78
1,3.5,82,69,3.22
1,3.25,70,85,3.33
1,4,60,93,3.5
1,3,80,69,2.5
1,2.25,84,72,2.63
1,4.5,87,60,3.55
1,2.5,91,74,2.18
1,3.25,76,64,3.13
1,3.5,73,72,3.24
1,4.5,71,85,3.93
1,3,68,90,3.03
1,4.25,77,76,3.88
1,4.5,76,76,3.75
1,2.75,57,80,3.09
1,4.5,62,74,3.56
1,3.75,58,95,3.8
1,4,70,81,3.68
1,3,83,74,3.1
1,3.25,95,82,3.18
1,3.5,77,69,2.73
1,3.5,84,72,3.3
1,4.25,92,55,3.59
1,4.25,79,72,3.65
1,4.25,77,74,3.92
1,4,84,81,3.07
1,2,71,88,3.07
1,3.75,64,76,3.19
1,3.5,73,88,3.56
1,2.25,83,78,1.85
1,3.5,66,76,2.93
1,3,84,82,3.15
1,3.75,84,69,3.37
1,3.75,74,45,3.15
1,4.25,71,63,3.55
1,4,84,90,4.05
1,4,62,81,3.64
1,3.5,68,84,2.73
1,3.75,73,67,3.55
1,3.75,64,67,3.55
1,3.25,79,72,3.38
1,3,70,71,3.13
1,3.75,70,76,3.07
1,3.75,70,81,3.31
1,3.25,66,58,3.36
1,4,86,55,3.39
1,3.5,53,90,3.23
1,3.75,87,63,3.3
1,3.5,76,78,3.07
1,2.75,68,67,2.86
1,4,66,74,3.56
1,2.5,87,78,2.41
1,3.25,68,57,2.81
1,4,84,50,3.83
1,2.5,55,85,2.85
1,2.75,77,71,2.72
1,2.5,82,78,3.58
1,4,83,58,2.66
1,3.5,80,81,2.68
1,3,68,67,3.14
1,2.25,79,69,2.55
1,3.25,80,74,3.26
1,4.25,70,88,3.71
1,3.75,74,76,3.08
1,4,80,81,3.25
1,4,84,80,3
1,3.75,73,88,3.03
1,2.5,83,80,2.13
1,2.5,84,85,2.6
1,3.75,71,81,3
1,3.25,77,84,3.31
1,3.25,71,90,2.86
1,4.5,62,84,3.86
1,2.5,57,82,2.36
1,4,84,81,3.67
1,4.25,64,88,3.97
1,4.25,58,88,3.77
1,3.5,70,92,3.63
1,4.25,68,84,4.09
1,4.5,100,50,3.45
1,2.75,76,69,2.83
1,3.5,62,95,3.33
1,3.25,70,95,3.55
1,3.25,40,94,2.95
1,3.5,60,78,3.24
1,3.75,91,60,2.47
1,3.5,83,76,3.28
1,2.75,74,81,2.7
1,4.25,66,90,3.83
1,3.5,87,63,3.41
1,3.75,55,90,3.38
1,3.75,68,64,3.15
1,3.25,64,76,3.09
1,4.25,68,81,3.37
1,2.5,77,60,3.09
1,3.75,82,64,3.18
1,4.25,77,85,3.95
1,4.25,73,76,3.73
1,4.25,70,90,4.03
1,3.5,77,66,3.46
1,3.5,71,72,3.49
1,3.75,64,76,3.69
1,4,87,67,3.58
1,3.75,64,85,3.84
1,4.5,90,71,3.18
1,3.75,82,63,3.63
1,2.5,73,72,2.87
1,3.5,71,82,3.62
1,3.75,66,76,3.18
1,3.25,74,66,3.32
1,3.25,83,74,3.21
1,2,62,69,2.03
1,3,70,74,3.04
1,3.25,64,76,2.98
1,4.25,77,80,3.51
1,4,44,90,3.51
1,3.25,57,78,2.77
1,4.5,74,76,3.42
1,4,86,57,3.69
1,4.5,90,66,3.58
1,2.5,92,69,3.31
1,4.25,77,67,3.49
1,3.75,64,66,2.96
1,3.5,58,82,3.54
1,3.5,79,72,3.29
1,2.5,64,81,2.88
1,3.5,60,93,3.42
1,3.75,84,60,3.47
1,3.5,64,72,3.29
1,3.5,91,53,3.34
1,3.5,49,93,3.47
1,3.75,80,60,3.38
1,3.75,70,76,3.41
1,4.5,76,57,3.14
1,3.5,76,72,2.97
1,2.5,68,84,3.03
1,2.75,68,76,2.7
1,3.5,84,54,3.01
1,4,73,72,3.58
1,2.75,45,80,2.72
1,3.5,76,90,3.53
1,4,70,76,3.51
1,4,60,82,3.97
1,3.25,73,84,3.22
1,3.75,57,92,3.51
1,3.25,62,60,2.79
1,2.25,53,85,3.09
1,3.75,47,84,2.96
1,2.75,80,80,2.73
1,4.5,77,76,3.18
1,2.25,76,81,3.5
1,3,62,64,2.69
1,4,86,71,3.06
1,3.75,53,78,3.35
1,4.25,68,63,4.05
1,3.5,76,88,3.12
1,3.25,73,90,3.26
1,3.75,83,84,3.69
1,4,73,64,2.43
1,3.5,73,90,2.97
1,2,62,72,2.54
1,3.75,82,76,3.71
1,4,83,76,3.47
1,3.5,92,63,2.77
1,4.25,62,87,3.9
1,3,71,69,3.14
1,4.25,88,85,3.79
1,3,60,76,3.04
1,2.75,76,66,2.73
1,3,68,69,2.65
1,3.5,80,63,3.36
1,4.5,45,72,4.17
1,3.5,71,58,3.59
1,4,73,63,4.08
1,3,68,57,3.5
1,3.75,66,74,2.93
1,3.75,74,74,3.57
1,4.25,70,90,3.83
1,4.5,62,87,3.81
1,3.25,64,47,2.64
1,2.75,80,82,2.96
1,3.25,73,85,2.86
1,3,66,71,3.02
1,3.75,62,82,3.81
1,2.5,68,64,2
1,4.5,71,72,3.69
1,3.75,68,60,3.49
1,3.75,77,76,3.45
1,4.5,86,60,3.8
1,3.75,64,69,3.05
1,3.75,92,40,3.4
1,4,60,54,3.46
1,2.25,68,57,3.05
1,3.5,80,88,3.74
1,3.5,83,57,3.24
1,3.5,71,51,3.79
1,4.25,47,78,4.05
1,3.25,60,84,3.45
1,4.5,51,82,3.69
1,3.25,58,95,3.45
1,3.25,70,97,2.81
1,3.75,76,74,3.19
1,4.5,68,80,3.22
1,4.25,62,84,4.04
1,4,74,80,4.03
1,4,53,71,3.53
1,4.25,74,80,3.74
1,4.25,64,81,3.74
1,4.5,70,84,3.15
1,2.5,62,57,3.18
1,3.75,80,78,3.83
1,3.75,74,76,3.56
1,3.75,79,72,3.22
1,4.5,68,84,4.04
1,4.5,86,78,3.82
1,3.25,68,90,2.86
1,2,70,78,3.14
1,3,79,71,2.97
1,3,62,63,3.1
1,4.25,74,66,3.65
1,2.5,76,72,2.69
1,3.75,62,66,3.15
1,4,57,92,3.65
1,3,91,66,2.97
1,3.5,87,82,2.71
1,3.75,77,90,3.55
1,3.75,73,84,3.83
1,4.25,79,72,3.68
1,3.5,76,82,3.41
1,4,55,90,3.6
1,3.5,62,82,3.49
1,2,84,80,2.66
1,3.5,70,74,2.95
1,3.5,60,90,3.44
1,3.5,58,81,3.3
1,4.25,91,81,3.22
1,4.5,68,58,3.87
1,2,79,66,2.43
1,3.75,82,81,3.23
1,2.75,86,66,2.97
1,4.5,73,69,2.99
1,4.25,62,80,3.45
1,2,74,78,2.72
1,4,76,74,3.4
1,2.25,77,82,2.86
1,3.5,77,85,3.17
1,3.75,86,76,3.58
1,2,87,74,3.04
1,4.5,58,97,2.68
1,4,57,88,3.03
1,3.75,80,81,3.21
1,2,62,78,2.35
1,3.75,62,74,3.38
1,3,79,76,3.15
1,3.75,87,71,3.28
1,4,66,76,3.22
1,4.25,79,82,3.74
1,2,91,81,3.18
1,3.5,76,88,3.38
1,4,66,90,3.24
1,2.75,66,85,2.55
1,4,84,69,3.13
1,4.25,74,88,3.51
1,3.75,80,72,3.58
1,3.25,73,76,3.17
1,4.5,76,69,3.08
1,2.5,47,80,2.77
1,3,84,88,1.42
1,3.5,79,67,3.09
1,3.75,74,69,3.41
1,3.5,76,81,2.81
1,4.5,74,69,3.82
1,3.5,71,90,3
1,4.5,76,81,3.94
1,3.75,84,76,3.83
1,3.75,64,90,3.56
1,3.75,82,80,3.46
1,3.5,82,69,2.82
1,4.25,90,58,3.4
1,2.5,83,81,2.76
1,4,62,92,3.24
1,3.75,76,81,2.73
1,3.75,73,80,3.54
1,3.75,82,66,3.82
1,4,62,93,3.55
1,3,80,60,2.91
1,3,83,69,2.79
1,2.75,70,84,2.59
1,4.25,66,81,3.76
1,4,74,78,3.64
1,3.75,76,58,2.78
1,3.75,68,84,3.5
1,4,68,81,3.74
1,4.25,82,60,3.88
1,3.5,92,81,3.08
1,4.25,57,85,3.95
1,3.75,76,63,3.26
1,3.75,74,76,3.13
1,3,70,78,2.98
1,4,86,76,3.49
1,3.75,62,87,3.37
1,4,82,69,3.52
1,3.75,86,76,3.04
1,3.25,73,76,3.44
1,2.5,70,69,2.69
1,2,88,58,2.96
1,3.75,57,87,3.77
1,3.75,77,72,3.66
1,2,76,80,2.86
1,3.5,68,78,3.4
1,3.5,76,72,3.3
1,3.25,58,81,3
1,4.5,68,78,4.24
1,3.75,49,97,3.31
1,4.25,70,76,3.36
1,2,76,55,1.62
1,4.25,66,88,3.49
1,3.75,68,76,3.07
1,3,76,72,2.96
1,3.5,83,67,2.78
1,4.5,86,66,3.98
1,2.5,73,88,2.58
1,3.5,87,57,2.64
1,3.25,88,54,2.92
1,3.75,74,87,3.34
1,3.75,58,72,2.82
1,2.5,74,90,2.47
1,3.5,64,76,3.32
1,3.75,71,84,3.45
1,3,71,85,1.92
1,4,79,81,3.41
1,3,68,81,2.77
1,4.25,76,87,3.7
1,4,71,81,3.08
1,3.75,76,76,3.49
1,3.25,70,69,3.08
1,3.25,57,76,3.27
1,3.25,79,78,2.92
1,4.25,84,85,3.87
1,4.5,86,69,3.54
1,2.5,68,72,2.99
1,4,88,72,3.12
1,2.5,57,88,2.01
1,2.5,80,60,2.91
1,4,60,94,3.55
1,4,84,55,3.04
1,3,73,82,3.09
1,3.75,76,48,2.97
1,3.25,68,78,3.5
1,3,77,69,2.91
1,2.75,55,85,3.44
1,3,74,84,2.73
1,2.5,83,84,2.9
1,2.5,60,58,2.5
1,2.5,70,57,2.84
1,3,47,72,3.04
1,2.5,62,93,2.83
1,4,71,67,4.03
1,2.5,53,69,2.9
1,4,60,90,3.53
1,3,71,74,2.87
1,2.5,53,90,2.34
1,3,55,71,3.26
1,2,79,60,2.96
1,4,79,85,3.76
1,4.5,74,90,4.11
1,4.25,80,69,3.31
1,3.25,84,57,3.15
1,4,40,90,3.49
1,2.5,66,87,3.55
1,3,87,88,3.23
1,3,80,72,2.89
1,3.5,96,87,3.25
1,3.5,70,69,3.58
1,3.25,95,66,2.78
1,3.5,49,76,3.5
1,2.25,64,80,2.47
1,2.75,68,76,3.63
1,3,84,76,3.24
1,3.5,57,84,3.28
1,4.25,62,43,3.24
1,2.5,76,57,2.16
1,3.75,62,74,2.72
1,4.25,66,81,3.71
1,3,55,82,2.96
1,3.25,58,81,3.38
1,3.5,62,69,3.46
1,3.25,86,67,3.36
1,3.25,74,90,3.28
1,2.25,88,37,2.8
1,4.25,58,87,3.64
1,4.5,76,66,4.16
1,3.75,66,80,3
1,3.25,49,72,3.29
1,2.25,83,87,1.92
1,3.5,71,84,3.36
1,3,51,78,3.48
1,3.25,80,60,3.31
1,3.25,76,58,2.55
1,2.5,60,66,2.86
1,3.25,71,72,3.19
1,2.75,76,72,3.29
1,3.75,76,72,3.14
1,3.75,70,76,2.34
1,4,60,81,3.56
1,3,71,76,2.6
1,3.25,66,57,2.91
1,3.25,77,71,3.05
1,3.25,76,80,2.95
1,2.25,66,60,2.85
1,4,64,78,3.8
1,4.25,55,78,3.73
1,3,66,55,2.63
1,3.25,51,90,2.99
1,4.25,71,72,3.41
1,3.75,64,69,3.74
1,2.5,77,81,2.7
1,3.25,84,60,2.92
1,2.5,66,82,2.55
1,2.75,89,63,2.59
1,2.25,70,71,2.73
1,2.25,80,71,2.13
1,4.25,76,71,3.74
1,3.5,77,72,3.31
1,3,71,76,2.49
1,3.25,60,81,2.03
1,3.5,79,78,3.15
1,2,62,67,2.86
1,3.5,89,72,3.04
1,4.5,88,67,3.71
1,2.25,74,76,3.03
1,3.25,64,81,3.14
1,2.75,76,60,3.1
1,2.75,68,87,2.81
1,4.25,66,72,3.79
1,3.5,66,93,3.52
1,3.25,71,57,3.65
1,4.5,76,87,4.25
1,2.5,73,81,2.66
1,3,66,84,2.61
1,4.5,74,64,3.9
1,3.75,51,82,3.65
1,3.75,77,76,3.36
1,2.75,60,76,3.2
1,4.5,73,81,3.25
1,3,76,76,3.24
1,3.75,86,72,3.44
1,4.5,77,81,4.15
1,3.75,93,67,3.3
1,3.75,80,66,2.95
1,3.75,83,74,3.59
1,4,84,87,3.91
1,4.5,76,84,3.59
1,2,66,87,3.07
1,3.5,53,93,3.67
1,4,79,76,2.93
1,4,57,82,4.03
1,3.25,76,82,3.31
1,2.25,58,78,2.94
1,2.75,70,78,3.46
1,2.25,60,66,2.1
1,4.5,74,72,3.83
1,4,64,95,3.43
1,3.25,83,72,3.13
1,2.75,73,51,2.85
1,2.25,70,84,3.02
1,4.25,73,63,3.4
1,4.25,83,45,3.67
1,3,74,72,3.23
1,4.25,70,76,3.54
1,4,70,85,3.76
1,3.25,77,74,3.45
1,3.5,86,90,3.24
1,3,64,82,3.37
1,3.75,83,63,3.85
1,3.25,79,84,3.57
1,2,76,69,2.04
1,2.25,74,81,2.69
1,4.5,66,81,4.18
1,3.75,68,88,3.91
1,4,60,63,3.5
1,2.75,79,84,2.65
1,2.5,80,57,3.27
1,2.75,71,82,3.45
1,3.75,91,67,3.13
1,2.5,76,57,3.21
1,3.75,74,66,3.27
1,2,79,90,1.74
1,3.25,62,84,2.73
1,4.25,68,85,3.6
1,3.25,60,93,3.5
1,3.5,74,78,2.29
1,2.75,62,95,2.37
1,3.75,71,76,3.41
1,4,79,81,2.41
1,4.5,74,69,3.43
1,4,74,78,3.7
1,4.25,77,81,3.59
1,4.25,73,66,4.03
1,2,92,66,2.68
1,3,76,76,2.89
1,4,76,54,3.55
1,2.5,71,84,2.88
1,2.75,68,90,2.81
1,3.75,91,63,2.73
1,2,92,74,2.13
1,2.5,71,81,2.98
1,3.5,74,85,3.58
1,2.5,83,72,2.3
1,3.75,80,55,3.16
1,4.5,76,84,3.79
1,4.5,84,74,3.42
1,4.25,68,78,3.4
1,4,44,85,3.88
1,3,71,85,3.17
1,4.5,88,66,3.82
1,4,57,67,3.71
